,experiment,episode,ret_ag0,ret_ag1,ret_ag2,coop_ag0,coop_ag1,coop_ag2
0,0.0,0.0,10.575418578748188,6.575418578748188,6.575418578748188,0.0,1.0,1.0
1,0.0,50.0,5.433287927734817,9.433287927734817,9.433287927734817,1.0,0.0,0.0
2,0.0,100.0,5.917699765069829,1.917699765069829,5.917699765069829,0.0,1.0,0.0
3,0.0,150.0,5.872741274573267,9.872741274573267,9.872741274573267,1.0,0.0,0.0
4,0.0,200.0,4.0,4.0,4.0,0.0,0.0,0.0
5,0.0,250.0,3.7850569213608933,7.785056921360893,7.785056921360893,1.0,0.0,0.0
6,0.0,300.0,7.359034571733689,3.359034571733689,7.359034571733689,0.0,1.0,0.0
7,0.0,350.0,12.720709317009494,16.720709317009494,12.720709317009494,1.0,0.0,1.0
8,0.0,400.0,12.677021809879651,16.67702180987965,12.677021809879651,1.0,0.0,1.0
9,0.0,450.0,4.0,4.0,4.0,0.0,0.0,0.0
10,0.0,500.0,7.100466144220138,3.100466144220138,7.100466144220138,0.0,1.0,0.0
11,0.0,550.0,10.010971780194733,10.010971780194733,6.010971780194733,0.0,0.0,1.0
12,0.0,600.0,4.0,4.0,4.0,0.0,0.0,0.0
13,0.0,650.0,7.949708534472883,7.949708534472883,11.949708534472883,1.0,1.0,0.0
14,0.0,700.0,19.097367314027903,19.097367314027903,19.097367314027903,1.0,1.0,1.0
15,0.0,750.0,18.93740083045396,18.93740083045396,18.93740083045396,1.0,1.0,1.0
16,0.0,800.0,19.497829886154058,19.497829886154058,19.497829886154058,1.0,1.0,1.0
17,0.0,850.0,17.132127495426012,13.132127495426014,13.132127495426014,0.0,1.0,1.0
18,0.0,900.0,8.050485392445397,12.050485392445397,8.050485392445397,1.0,0.0,1.0
19,0.0,950.0,18.46802118671532,18.46802118671532,18.46802118671532,1.0,1.0,1.0
20,0.0,1000.0,4.0,4.0,4.0,0.0,0.0,0.0
21,0.0,1050.0,6.062164846004864,10.062164846004864,6.062164846004864,1.0,0.0,1.0
22,0.0,1100.0,8.378790115753395,8.378790115753395,4.378790115753395,0.0,0.0,1.0
23,0.0,1150.0,12.612878693110464,16.612878693110464,12.612878693110464,1.0,0.0,1.0
24,0.0,1200.0,4.0,4.0,4.0,0.0,0.0,0.0
25,0.0,1250.0,4.0,4.0,4.0,0.0,0.0,0.0
26,0.0,1300.0,4.0,4.0,4.0,0.0,0.0,0.0
27,0.0,1350.0,4.0,4.0,4.0,0.0,0.0,0.0
28,0.0,1400.0,8.096713187705175,8.096713187705175,12.096713187705175,1.0,1.0,0.0
29,0.0,1450.0,13.15104554911241,17.15104554911241,13.15104554911241,1.0,0.0,1.0
30,0.0,1500.0,6.522080463362999,6.522080463362999,2.5220804633629994,0.0,0.0,1.0
31,0.0,1550.0,4.0,4.0,4.0,0.0,0.0,0.0
32,0.0,1600.0,19.58361161600014,19.58361161600014,19.58361161600014,1.0,1.0,1.0
33,0.0,1650.0,17.12147031339699,17.12147031339699,17.12147031339699,1.0,1.0,1.0
34,0.0,1700.0,6.743021954480457,6.743021954480457,2.743021954480457,0.0,0.0,1.0
35,0.0,1750.0,17.05131261971968,17.05131261971968,17.05131261971968,1.0,1.0,1.0
36,0.0,1800.0,4.0,4.0,4.0,0.0,0.0,0.0
37,0.0,1850.0,13.784338138575386,9.784338138575386,9.784338138575386,0.0,1.0,1.0
38,0.0,1900.0,10.587286097159566,6.587286097159567,6.587286097159567,0.0,1.0,1.0
39,0.0,1950.0,14.300005451672247,14.300005451672247,14.300005451672247,1.0,1.0,1.0
40,0.0,2000.0,10.832374891147373,6.8323748911473725,6.8323748911473725,0.0,1.0,1.0
41,0.0,2050.0,4.0,4.0,4.0,0.0,0.0,0.0
42,0.0,2100.0,6.650378583135474,10.650378583135474,6.650378583135474,1.0,0.0,1.0
43,0.0,2150.0,11.570388641668337,11.570388641668337,11.570388641668337,1.0,1.0,1.0
44,0.0,2200.0,16.810992818087477,16.810992818087477,16.810992818087477,1.0,1.0,1.0
45,0.0,2250.0,18.30914718082854,18.30914718082854,18.30914718082854,1.0,1.0,1.0
46,0.0,2300.0,7.276718935078509,7.276718935078509,3.2767189350785086,0.0,0.0,1.0
47,0.0,2350.0,16.646168330585382,16.646168330585382,16.646168330585382,1.0,1.0,1.0
48,0.0,2400.0,18.798287260972224,18.798287260972224,18.798287260972224,1.0,1.0,1.0
49,0.0,2450.0,4.0,4.0,4.0,0.0,0.0,0.0
50,0.0,2500.0,18.902012706381583,18.902012706381583,18.902012706381583,1.0,1.0,1.0
51,0.0,2550.0,4.0,4.0,4.0,0.0,0.0,0.0
52,0.0,2600.0,13.672180623709398,13.672180623709398,13.672180623709398,1.0,1.0,1.0
53,0.0,2650.0,13.060333408208733,13.060333408208733,13.060333408208733,1.0,1.0,1.0
54,0.0,2700.0,15.06095237260626,15.06095237260626,15.06095237260626,1.0,1.0,1.0
55,0.0,2750.0,10.618743461871546,14.618743461871546,10.618743461871546,1.0,0.0,1.0
56,0.0,2800.0,4.0,4.0,4.0,0.0,0.0,0.0
57,0.0,2850.0,4.0,4.0,4.0,0.0,0.0,0.0
58,0.0,2900.0,14.677652640051846,14.677652640051846,14.677652640051846,1.0,1.0,1.0
59,0.0,2950.0,8.166639188537737,12.166639188537737,8.166639188537737,1.0,0.0,1.0
60,1.0,0.0,11.870139329815007,15.870139329815007,11.870139329815007,1.0,0.0,1.0
61,1.0,50.0,4.688073741462068,8.688073741462068,4.688073741462068,1.0,0.0,1.0
62,1.0,100.0,11.728859096269254,7.728859096269255,7.728859096269255,0.0,1.0,1.0
63,1.0,150.0,4.0,4.0,4.0,0.0,0.0,0.0
64,1.0,200.0,6.770768909601646,10.770768909601646,6.770768909601646,1.0,0.0,1.0
65,1.0,250.0,9.02004757346205,5.020047573462049,9.02004757346205,0.0,1.0,0.0
66,1.0,300.0,11.0575516081335,7.057551608133499,7.057551608133499,0.0,1.0,1.0
67,1.0,350.0,16.280505405917047,12.280505405917049,12.280505405917049,0.0,1.0,1.0
68,1.0,400.0,6.607568840717389,2.6075688407173887,6.607568840717389,0.0,1.0,0.0
69,1.0,450.0,8.471368627997832,4.4713686279978315,8.471368627997832,0.0,1.0,0.0
70,1.0,500.0,4.0,4.0,4.0,0.0,0.0,0.0
71,1.0,550.0,9.739459495668081,5.739459495668081,9.739459495668081,0.0,1.0,0.0
72,1.0,600.0,12.7536126858338,8.7536126858338,8.7536126858338,0.0,1.0,1.0
73,1.0,650.0,4.0,4.0,4.0,0.0,0.0,0.0
74,1.0,700.0,4.0,4.0,4.0,0.0,0.0,0.0
