,experiment,episode,ret_ag0,ret_ag1,ret_ag2,coop_ag0,coop_ag1,coop_ag2
0,0.0,0.0,1.0,0.23176133437717483,0.3672473024765135,0.0,1.0,1.0
1,0.0,50.0,0.0,-1.6797901918560805,0.0,0.0,1.0,0.0
2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,150.0,0.0,-2.259956983733904,0.0,0.0,1.0,0.0
4,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,2150.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,2350.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,2950.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1.0,0.0,1.0,-2.6985466660245088,-1.0022162146066669,0.0,1.0,1.0
61,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
