,experiment,episode,ret_ag0,ret_ag1,ret_ag2,coop_ag0,coop_ag1,coop_ag2
0,0.0,0.0,11.943003273682805,11.943003273682805,15.943003273682805,1.0,1.0,0.0
1,0.0,50.0,4.0,4.0,4.0,0.0,0.0,0.0
2,0.0,100.0,9.00285479809023,9.00285479809023,9.00285479809023,1.0,1.0,1.0
3,0.0,150.0,6.50142689951686,2.50142689951686,6.50142689951686,0.0,1.0,0.0
4,0.0,200.0,15.265499325059459,15.265499325059459,15.265499325059459,1.0,1.0,1.0
5,0.0,250.0,16.5871135972814,16.5871135972814,16.5871135972814,1.0,1.0,1.0
6,0.0,300.0,3.2592466973171796,7.259246697317179,7.259246697317179,1.0,0.0,0.0
7,0.0,350.0,7.539618430805466,7.539618430805466,3.539618430805466,0.0,0.0,1.0
8,0.0,400.0,15.185853877849373,15.185853877849373,15.185853877849373,1.0,1.0,1.0
9,0.0,450.0,5.856117676708028,1.856117676708028,5.856117676708028,0.0,1.0,0.0
10,0.0,500.0,16.477464593027683,16.477464593027683,16.477464593027683,1.0,1.0,1.0
11,0.0,550.0,2.629424101951266,6.629424101951265,6.629424101951265,1.0,0.0,0.0
12,0.0,600.0,4.0,4.0,4.0,0.0,0.0,0.0
13,0.0,650.0,19.863274762963528,19.863274762963528,19.863274762963528,1.0,1.0,1.0
14,0.0,700.0,19.799524845603667,19.799524845603667,19.799524845603667,1.0,1.0,1.0
15,0.0,750.0,12.69931841133912,12.69931841133912,12.69931841133912,1.0,1.0,1.0
16,0.0,800.0,6.866472717884141,6.866472717884141,2.866472717884142,0.0,0.0,1.0
17,0.0,850.0,4.0,4.0,4.0,0.0,0.0,0.0
18,0.0,900.0,19.19394862179052,19.19394862179052,19.19394862179052,1.0,1.0,1.0
19,0.0,950.0,4.0,4.0,4.0,0.0,0.0,0.0
20,0.0,1000.0,16.56470999799999,16.56470999799999,16.56470999799999,1.0,1.0,1.0
21,0.0,1050.0,4.0,4.0,4.0,0.0,0.0,0.0
22,0.0,1100.0,4.0,4.0,4.0,0.0,0.0,0.0
23,0.0,1150.0,4.0,4.0,4.0,0.0,0.0,0.0
24,0.0,1200.0,4.0,4.0,4.0,0.0,0.0,0.0
25,0.0,1250.0,4.0,4.0,4.0,0.0,0.0,0.0
26,0.0,1300.0,4.0,4.0,4.0,0.0,0.0,0.0
27,0.0,1350.0,6.773869279368752,10.773869279368752,6.773869279368752,1.0,0.0,1.0
28,0.0,1400.0,4.0,4.0,4.0,0.0,0.0,0.0
29,0.0,1450.0,4.0,4.0,4.0,0.0,0.0,0.0
30,0.0,1500.0,19.002654933039025,19.002654933039025,19.002654933039025,1.0,1.0,1.0
31,0.0,1550.0,4.0,4.0,4.0,0.0,0.0,0.0
32,0.0,1600.0,6.872461055495307,2.8724610554953074,6.872461055495307,0.0,1.0,0.0
33,0.0,1650.0,4.0,4.0,4.0,0.0,0.0,0.0
34,0.0,1700.0,7.6044817572118735,11.604481757211873,7.6044817572118735,1.0,0.0,1.0
35,0.0,1750.0,19.467680306669067,19.467680306669067,19.467680306669067,1.0,1.0,1.0
36,0.0,1800.0,4.0,4.0,4.0,0.0,0.0,0.0
37,0.0,1850.0,7.479811681054707,7.479811681054707,3.4798116810547066,0.0,0.0,1.0
38,0.0,1900.0,4.0,4.0,4.0,0.0,0.0,0.0
39,0.0,1950.0,19.099445046746098,19.099445046746098,19.099445046746098,1.0,1.0,1.0
40,0.0,2000.0,4.0,4.0,4.0,0.0,0.0,0.0
41,0.0,2050.0,18.43038880659816,18.43038880659816,18.43038880659816,1.0,1.0,1.0
42,0.0,2100.0,14.468401905470621,14.468401905470621,14.468401905470621,1.0,1.0,1.0
43,0.0,2150.0,12.67699187013359,12.67699187013359,12.67699187013359,1.0,1.0,1.0
44,0.0,2200.0,7.6321868776105175,7.6321868776105175,3.6321868776105175,0.0,0.0,1.0
45,0.0,2250.0,16.951131937253535,16.951131937253535,16.951131937253535,1.0,1.0,1.0
46,0.0,2300.0,14.519309849981202,14.519309849981202,14.519309849981202,1.0,1.0,1.0
47,0.0,2350.0,4.0,4.0,4.0,0.0,0.0,0.0
48,0.0,2400.0,7.811158273036909,3.8111582730369093,7.811158273036909,0.0,1.0,0.0
49,0.0,2450.0,4.0,4.0,4.0,0.0,0.0,0.0
50,0.0,2500.0,4.0,4.0,4.0,0.0,0.0,0.0
51,0.0,2550.0,8.390670539621356,4.390670539621356,8.390670539621356,0.0,1.0,0.0
52,0.0,2600.0,16.396180948354935,16.396180948354935,16.396180948354935,1.0,1.0,1.0
53,0.0,2650.0,16.546370400179924,16.546370400179924,16.546370400179924,1.0,1.0,1.0
54,0.0,2700.0,18.08372439775917,18.08372439775917,18.08372439775917,1.0,1.0,1.0
55,0.0,2750.0,19.304655804909693,19.304655804909693,19.304655804909693,1.0,1.0,1.0
56,0.0,2800.0,18.38953338590248,18.38953338590248,18.38953338590248,1.0,1.0,1.0
57,0.0,2850.0,12.852223762822115,12.852223762822115,12.852223762822115,1.0,1.0,1.0
58,0.0,2900.0,12.191934484248495,12.191934484248495,12.191934484248495,1.0,1.0,1.0
59,0.0,2950.0,13.148370375382795,13.148370375382795,13.148370375382795,1.0,1.0,1.0
60,1.0,0.0,7.522054649455324,7.522054649455324,3.5220546494553244,0.0,0.0,1.0
61,1.0,50.0,10.19718283863012,6.19718283863012,10.19718283863012,0.0,1.0,0.0
62,1.0,100.0,3.914801190974341,3.914801190974341,7.914801190974341,1.0,1.0,0.0
